interval,id,cell,entry,exit
4,0,634,1211889767,1211889832
4,0,635,1211889873,1211890185
4,0,634,1211890245,1211890493
4,0,593,1211890553,1211890553
4,0,590,1211890613,1211890613
4,0,589,1211890654,1211890654
4,0,627,1211890714,1211890714
4,0,667,1211890774,1211890774
4,0,707,1211890839,1211890839
4,0,787,1211890894,1211890894
4,0,827,1211890954,1211890977
4,0,867,1211891037,1211891279
4,0,828,1211891340,1211891340
4,0,708,1211891401,1211891401
4,0,628,1211891438,1211891438
4,0,588,1211891498,1211891498
4,0,589,1211891558,1211891558
4,0,591,1211891618,1211891618
4,0,511,1211891678,1211891678
4,0,512,1211891738,1211891738
4,0,434,1211891799,1211891799
4,0,395,1211891858,1211891858
4,0,356,1211891918,1211892024
4,0,396,1211892085,1211892085
4,0,476,1211892155,1211892155
4,0,516,1211892221,1211892221
4,0,555,1211892273,1211892273
4,0,554,1211892334,1211892334
4,0,592,1211892446,1211892446
4,0,589,1211892507,1211892507
4,0,588,1211892567,1211892567
4,0,627,1211892629,1211892629
4,0,707,1211892693,1211892693
4,0,787,1211892749,1211892816
4,0,867,1211892854,1211892854
4,0,947,1211892914,1211892914
4,0,987,1211892974,1211892974
4,0,1027,1211893034,1211893034
4,0,1107,1211893108,1211893108
4,0,1146,1211893155,1211893457
4,0,1186,1211893518,1211894009
4,0,1265,1211894069,1211894069
4,0,1305,1211894145,1211894161
4,0,1304,1211894224,1211895115
4,0,1344,1211895180,1211895180
4,0,1342,1211895233,1211895294
4,0,1341,1211895397,1211895397
4,0,1340,1211895467,1211895467
4,0,1341,1211895527,1211895527
4,0,1342,1211895552,1211895877
4,0,1382,1211895931,1211895931
4,0,1381,1211895992,1211896333
4,0,1342,1211896406,1211896461
4,0,1340,1211896522,1211896522
4,0,1341,1211896583,1211896583
4,0,1342,1211896645,1211896645
4,0,1302,1211896705,1211896705
4,0,1303,1211896770,1211896785
4,0,1305,1211896841,1211896841
4,0,1265,1211896902,1211896902
4,0,1266,1211896966,1211896966
4,0,1308,1211897042,1211897042
4,0,1310,1211897091,1211897091
4,0,1312,1211897141,1211897141
4,0,1313,1211897204,1211897204
4,0,1273,1211897256,1211897319
4,0,1274,1211897380,1211898201
4,0,1273,1211898268,1211898379
4,0,1274,1211898570,1211898698
4,0,1314,1211898763,1211899028
4,0,1273,1211899098,1211899098
4,0,1272,1211899148,1211899148
4,0,1312,1211899273,1211899324
4,0,1310,1211899384,1211899384
4,0,1266,1211899444,1211899444
4,0,1306,1211899504,1211899504
4,0,1385,1211899564,1211899619
4,0,1425,1211899651,1211899651
4,0,1426,1211899711,1211899838
4,0,1347,1211899958,1211899958
4,0,1307,1211899989,1211899989
4,0,1267,1211900050,1211900050
4,0,1268,1211900110,1211900110
4,0,1228,1211900172,1211900172
4,0,1269,1211900231,1211900311
4,0,1270,1211900377,1211900377
4,2,899,1211889721,1211889721
4,2,858,1211889797,1211889797
4,2,898,1211889836,1211889836
4,2,899,1211889896,1211889896
4,2,858,1211889925,1211889925
4,2,898,1211889985,1211889985
4,2,779,1211890178,1211890178
4,2,782,1211890237,1211890274
4,2,702,1211890334,1211890334
4,2,703,1211890398,1211890398
